image,Born,Person,description,occupation,position held,country of citizenship,given name,UpdatedAt
,1987-05-29,Kenny de Schepper,French tennis player,tennis player,,France,Kenny,2020-05-29
,1987-05-29,Joey Haro,American actor,actor television actor,,United States of America,Joey,2020-05-29
,1987-05-29,Ashley Stahl,journalist (*1987) ♀,journalist,,,Ashley,2020-05-29
,1987-05-29,Pearl Mackie,British actress,stage actor film actor television actor actor singer,,United Kingdom,,2020-05-29
,1987-05-29,Aleksandr Lebedev,Russian speed skater,speed skater,,Russia,Alexander,2020-05-29
,1987-05-29,Yanet Bermoy,Cuban judoka,judoka,,Cuba,,2020-05-29
,1987-05-29,Daniela Ryf,Swiss triathlete,triathlete,,Switzerland,Daniela,2020-05-29
,1987-05-29,Thad McFadden,American basketball player (1987-),basketball player,,United States of America Georgia,Thaddeus,2020-05-29
,1987-05-29,Enes Fermino,footballer,association football player,,Switzerland Democratic Republic of the Congo Ghana,Enes,2020-05-29
,1987-05-29,Issac Luke,New Zealand rugby league footballer,rugby league player,,New Zealand,,2020-05-29
,1987-05-29,Adriano Bispo dos Santos,Brazilian footballer and manager,association football player,,Brazil,Adriano,2020-05-29
,1987-05-29,Luís Leal,Santomean footballer,association football player,,Portugal,Luuis,2020-05-29
,1987-05-28 1987-05-29,Leonardo Sigali,Argentine footballer,association football player,,Argentina,Leonardo,2020-05-29
,1987-05-29,Michal Malý,Czech footballer,association football player,,Czech Republic,Michel,2020-05-29
,1987-05-29,Lee Jae-min,South Korean association football player,association football player,,South Korea,Jae-min,2020-05-29
,1987-05-29,Rui Sampaio,Portuguese footballer,association football player,,Portugal,Rui,2020-05-29
,1987-05-29,Alessandra Torresani,American actress,actor television actor taekwondo athlete film actor,,United States of America,Alessandra,2020-05-29
,1987-05-29,Anupriya Goenka,Indian actress,actor television actor,,India,,2020-05-29
,1987-05-29,Ak'Sent,American rapper,rapper singer dancer,,United States of America,,2020-05-29
,1987-05-29,Alison Young,Olympic sailor,sailor,,United Kingdom,Alison,2020-05-29
,1987-05-29,Lina Andrijauskaitė,Lithuanian long jumper,athletics competitor,,Lithuania,Lina,2020-05-29
,1987-05-29,Nazanin Vaseghpanah,Swedish association football and futsal player and association football manager,association football player association football manager futsal player,,Sweden,Nazanin,2020-05-29
,1987-05-29,Noah Reid,Canadian actor and musician,actor film actor television actor,,Canada,Noah,2020-05-29
,1987-05-29,Roberts Rode,Latvian alpine skier,alpine skier,,Latvia,Roberts,2020-05-29
,1987-05-29,Emma Beckett,Irish association football player,association football player,,United Kingdom,Emma,2020-05-29
,1987-05-29,Jon Holland,Australian cricketer,cricketer,,Australia,Jon,2020-05-29
,1987-05-29,Josh Alexander,Canadian professional wrestler,wrestler,,Canada,Josh,2020-05-29
,1987-05-29,Lee Purdy,British boxer,boxer,,,,2020-05-29
,1987-05-29,Jeremy Shea,Person (*1987) ♂,,,,,2020-05-29
,1987-05-29,Natasha Sharma,Indian actress,television actor,,India,Natasha,2020-05-29
,1987-05-29,Taner Arı,association footballer,association football player,,Turkey,Taner,2020-05-29
,1987-05-29,Nikita Telenkov,Russian footballer,association football player,,Russia,Nikita,2020-05-29
,1987-05-29,Paul Alain Bingan,Cameroonian footballer,association football player,,Cameroon,Paul,2020-05-29
,1987-05-29,Sreenath Bhasi,Indian actor,actor film actor,,India,,2020-05-29
,1987-05-29,Robert Largan,British politician,politician,Member of the 58th Parliament of the United Kingdom,,Robert,2020-05-29
,1987-05-29,Supoj Wonghoi,Thai footballer,association football player,,Thailand,,2020-05-29
,1987-05-29,Matúš Leskovjanský,Slovak ice hockey player,ice hockey player,,,Matúš,2020-05-29
,1987-05-29,Léo Veloso,Brazilian association football player,association football player,,Brazil,Leonardo,2020-05-29
,1986-05-29,Mikalay Asipovich,Belarusian footballer,association football player,,Belarus,Mikalai,2020-05-29
,1986-05-29,Clayton Fettell,Australian triathlete,triathlete,,Australia,Clayton,2020-05-29
,1986-05-29,Dawid Szufryn,Polish association football player,association football player,,Poland,Dawid,2020-05-29
,1986-05-29,Katie McVean,New Zealand equestrian,athlete,,New Zealand,Katie,2020-05-29
,1978-11-29 1986-05-29,Osita Okeagu,Nigerian hurdler,athletics competitor,,Nigeria,Osita,2020-05-29
,1986-05-29,Jaclyn Pangilinan,Olympic swimmer,swimmer,,Philippines,Jaclyn,2020-05-29
,1986-05-29,Picho Toledano,Mexican racing driver,racing driver racing automobile driver,,Mexico,Alfonso,2020-05-29
,1986-05-29,Nazim Bakırcı,cyclist,sport cyclist,,Turkey,Nazim,2020-05-29
,1986-05-29,Jaslene Gonzalez,Puerto Rican model,model,,Puerto Rico,,2020-05-29
,1986-05-29,Igor Arsenijević,Serbian association football player,association football player,,Serbia,Igor,2020-05-29
,1986-05-29,Kevin Janssens,Belgian footballer,association football player,,Belgium,Kevin,2020-05-29
,1986-05-29,Danny Eslick,American motorcycle racer,motorcycle racer,,,Danny,2020-05-29
,1986-05-29,Darya Kustova,Belarusian tennis player,tennis player,,Belarus,Darya Darya,2020-05-29
,1986-05-29,Hornswoggle,American professional wrestler,professional wrestler,,United States of America,Dylan,2020-05-29
,1986-05-29,Eleazar Gómez,Mexican actor,actor singer television actor voice actor model celebrity film actor,,Mexico,Eleazar,2020-05-29
,1986-05-29,Jessi Miley-Dyer,Australian surfer,surfer,,Australia,Jessi,2020-05-29
,1986-05-29,Michael Dobson,Australian rugby league footballer,rugby league player,,Australia,Michael,2020-05-29
,1986-05-29,Stsiapan Rahautsou,Belarusian distance runner,marathon runner,,Belarus,Sciapan,2020-05-29
,1986-05-29 1986-01-01,Shwayze,American rapper,musician songwriter rapper singer,,United States of America,,2020-05-29
,1986-05-29,Udai Karthick,Indian Film actor,actor,,,,2020-05-29
,1986-05-29,Alek Manolov,association football player,association football player,,,,2020-05-29
,1986-05-29,Anthony Barry,Footballer,association football player,,United Kingdom,Anthony,2020-05-29
,1986-05-29,Antonio de Moura Carvalho,Brazilian association football player,association football player,,Brazil,Antonio,2020-05-29
,1986-05-29,No Min-woo,South Korean actor and singer,singer actor film actor television actor,,South Korea,Min-woo,2020-05-29
,1986-05-29,Darcy Brown,Canadian football player,Canadian football player,,Canada,Darcy,2020-05-29
,1986-05-29,Guto Inocente,mixed martial artist,mixed martial artist kickboxer,,Brazil,Guto,2020-05-29
,1986-05-29,Cyril Bessy,French bicycle racer,sport cyclist,,France,Cyril,2020-05-29
,1986-05-29,Danny Fox,association football player,association football player,,United Kingdom,Danny,2020-05-29
,1986-05-29,Kristy Borza,American tennis player,tennis player,,United States of America,Kristy,2020-05-29
,1986-05-29,Kunihiro Yamashita,Japanese association football player,association football player,,Japan,Kunihiro,2020-05-29
,1986-05-29,Kyriakos Panteli,Cypriot footballer,association football player,,Cyprus,,2020-05-29
,1986-05-29,Bella Disu,Nigerian business executive and philanthropist,business executive,vice chairperson,Nigeria,,2020-05-29
,1986-05-29,Martin Wille,Liechtensteiner footballer,association football player,,Liechtenstein,Martin,2020-05-29
,1986-05-29,Maurice Crum,American football player,American football player,,United States of America,Maurice,2020-05-29
,1986-05-29,Okawa Shaznay,actress,actor,,Ghana,,2020-05-29
,1986-05-29,Caio Alves,Brazilian footballer,association football player,,Brazil,Caio,2020-05-29
,1986-05-29,Romana Graham,New Zealand rugby union footballer,rugby union player,,New Zealand,Romana,2020-05-29
,1986-05-29,Wilfried Louisy-Daniel,football player,association football player,,France,Wilfried,2020-05-29
,1986-05-29,Besa Kokëdhima,Albanian singer,singer,,Albania,Besa,2020-05-29
,1985-05-29,Jackson Chauke,South African boxer,boxer,,South Africa,Jackson,2020-05-29
,1985-05-29,Nathan Horton,Canadian ice hockey centre,ice hockey player,,Canada,Nathan,2020-05-29
,1985-05-29,Simone Bentivoglio,Italian footballer,association football player,,Italy,Simone,2020-05-29
,1985-05-29,Ignacio Scocco,Argentine footballer,association football player,,Argentina Italy,Ignacio,2020-05-29
,1985-05-29,Billy Flynn,American actor and Producer,actor television actor,,United States of America,Billy,2020-05-29
,1985-05-29,Jukka Halme,Finnish association football player,association football player,,Finland,Jukka,2020-05-29
,1985-05-29,Shelley Cronau,Australian basketball player (1985-),basketball player,,,,2020-05-29
,1985-05-29,Shane McDonald,Australian basketball player (1985-),basketball player,,Australia,Shane,2020-05-29
,1985-05-29,Ji Yanyan,Olympic basketball player,basketball player,,People's Republic of China,,2020-05-29
,1985-05-29,Nicolás Riera,Argentine actor,actor singer television actor,,Argentina,Nicolás,2020-05-29
,1985-05-29 1985-09-25,Tino Semmer,German footballer,association football player,,Germany German Democratic Republic,Tino,2020-05-29
,1985-05-29,Kyra Gracie,Brazilian Jiu-Jitsu and grappling practitioner,Brazilian jiu-jitsu practitioner,,Brazil,Kyra,2020-05-29
,1985-05-29 1985-10-29,Jerome Ramatlhakwane,Motswana footballer,association football player,,Botswana,Jerome,2020-05-29
,1985-05-29,Blake Foster,American actor and martial artist,television actor actor film actor karateka,,United States of America,Blake,2020-05-29
,1985-05-29,Nozomi Komuro,Japanese skeleton racer,skeleton racer,,Japan,Nozomi,2020-05-29
,1985-05-29,Fabiano Jose Costa Flora,association football player,association football player,,Portugal,,2020-05-29
,1985-05-29,Yu Jing,Chinese speed skater,speed skater,,People's Republic of China,,2020-05-29
,1985-05-29,Hernanes,Brazilian association football player,association football player,,Brazil,Hernanes,2020-05-29
,1985-05-29,Max Plaxton,Canadian cyclist,sport cyclist,,Canada,Max,2020-05-29
,1985-05-29,Miroslav Vulićević,Serbian footballer,association football player,,Serbia,Miroslav,2020-05-29
,1985-05-29,Toafa Takaniko,French volleyball player,volleyball player,,France,,2020-05-29
,1985-05-29,Naile İvegin,basketball player,basketball player,,Turkey,,2020-05-29
,1985-05-29,Paolo Grossi,Italian association football player,association football player,,Italy,Paolo,2020-05-29
,1985-05-29,Georgi Karakhanyan,Armenian martial artist,mixed martial artist boxer,,Armenia Russia,Georgiy,2020-05-29
,1985-05-29,Jess Pugh,Australian politician in Queensland,politician,Member of the Queensland Legislative Assembly,Australia,Jessica Claire,2020-05-29
,1985-05-29,Ann Patrice McDonough,American figure skater,figure skater,,United States of America,Ann,2020-05-29
,1985-05-29,Bernard Morris,American football player,American football player,,United States of America,Bernard,2020-05-29
,1985-05-29,Dan Stratford,English footballer,association football player,,United Kingdom,Dan,2020-05-29
,1985-05-29,David Murphy,"Gaelic footballer, born 1985",Gaelic football player,,Ireland,David,2020-05-29
,1985-05-29,Jeannot Bouyain,Burkinabe footballer,association football player,,Burkina Faso,Jeannot,2020-05-29
,1985-05-29,Jens Werrmann,German hurdler,athletics competitor,,Germany,Jens,2020-05-29
,1985-05-29,Mike Windt,American football player,American football player,,United States of America,Mike,2020-05-29
,1985-05-29,Mircea Zamfir,Romanian gymnast,gymnast,,Romania,Mircea,2020-05-29
,1985-05-29,Momed Hagi,Mozambican footballer,association football player,,Mozambique,,2020-05-29
,1985-05-29,Ngemba Evans Obi,Footballer,association football player,,Nigeria,,2020-05-29
,1985-05-29,Paul Aiton,Papua New Guinean rugby league footballer,rugby league player,,Australia,Paul,2020-05-29
,1985-05-29,Shirley Reilly,American wheelchair racer,athletics competitor,,United States of America,Shirley,2020-05-29
,1985-05-29,May Chan,Hong Kong actress,actor,,,May,2020-05-29
,1985-05-29,Jeff Hughes,footballer,association football player,,Northern Ireland,Jeff,2020-05-29
,1985-05-29,James Horwill,Australian rugby union player,rugby union player,,Australia,James,2020-05-29
,1984-05-29,Nemanja Krznarić,Serbian footballer,association football player,,Serbia,Nemanja,2020-05-29
,1984-05-29,Jo Berger Myhre,Novegian jazz bassist,singer composer jazz musician,,Norway,Jo,2020-05-29
,1984-05-29,Carmelo Anthony,American basketball player,basketball player,,United States of America,Carmelo,2020-05-29
,1984-05-29,Kaycee Stroh,American actress,singer television actor film actor dancer,,United States of America,,2020-05-29
,1984-05-29,Tyler Merren,American Paralympic goalball player,,,United States of America,Tyler,2020-05-29
,1984-05-29,Sara Ishaq,filmmaker,film producer film director,,Yemen Scotland,Sarah,2020-05-29
,1984-05-29,Dan Hayden,baseball coach,baseball player,,,Dan,2020-05-29
,1984-05-29,Hanna Miluska,Olympic swimmer,swimmer,,Switzerland,Hanna,2020-05-29
,1984-05-29,Theodoros Angelinos,Greek tennis player,tennis player,,Greece,Theodoros,2020-05-29
,1984-05-29,Tiago dos Santos Alves,Brazilian association football player,association football player,,Brazil,Tiago,2020-05-29
,1984-05-29,Nia Jax,American professional wrestler,model professional wrestler,,United States of America,,2020-05-29
,1984-05-29,Marcis Liors Skadmanis,British Philanthropist,philanthropist businessperson,,United Kingdom,,2020-05-29
,1984-05-29,Justin Tryon,Player of American football,American football player,,United States of America,Justin,2020-05-29
,1984-05-29,Ryoko Nakagawa,Japanese cyclist,sport cyclist,,Japan,Ryoko,2020-05-29
,1984-05-29,Funmi Jimoh,athletics competitor,athletics competitor,,United States of America,,2020-05-29
,1984-05-29,Pietro Figlioli,Italian water polo player,water polo player,,Italy Australia,Pietro,2020-05-29
,1984-05-29,Prapawadee Jaroenrattanatarakoon,Olympic weightlifter,weightlifter,,Thailand,,2020-05-29
,1984-05-29,Austin Makacha,Kenyan footballer,association football player,,Kenya,Austin,2020-05-29
,1984-05-29,Konstantine Darsania,Georgian footballer,association football player,,Georgia,Konstantine,2020-05-29
,1984-05-29,Gauthier Grumier,French fencer,fencer,,France,Gauthier,2020-05-29
,1984-05-29,Mario Karlovic,Australian soccer player,association football player,,Australia,Mario,2020-05-29
,1984-05-29,Will Johnson,American rugby union player,rugby union player,,United States of America,Will,2020-05-29
,1984-05-29,Ina Wroldsen,Norwegian songwriter,singer composer,,Norway,Ina Christine,2020-05-29
,1984-05-29,Amit Gupta,cricketer,cricketer,,India,Amit,2020-05-29
,1984-05-29 1984-10-02,Andreas Schäffer,German footballer,association football player,,Germany,Andreas,2020-05-29
,1984-05-29,Brandon Gatson,American professional wrestler,professional wrestler,,United States of America,Brandon,2020-05-29
,1984-05-29,Andrew Crofts,Welsh footballer,association football player,,United Kingdom,Andrew,2020-05-29
,1984-05-29,Courtney Lewis,Music conductor,conductor,,United Kingdom,Courtney,2020-05-29
,1984-05-29,Emma Koster,Australian netball player,netballer,,Australia,Emma,2020-05-29
,1984-05-29 1984,Chris Porter,Canadian ice hockey player,ice hockey player,,Canada,Chris,2020-05-29
,1984-05-29,Hoani Tui,New Zealand rugby union player,rugby union player,,New Zealand,,2020-05-29
,1984-05-29,Will Davis,Baseball player (*1984) ♂,baseball player,,,Will,2020-05-29
,1984-05-29,Aleksei Tishchenko,boxer,boxer,,Russia,Alexey,2020-05-29
,1984-05-29,James Steacy,Canadian hammer thrower,hammer thrower discus thrower,,Canada,James,2020-05-29
,1984-05-29,Lara Martin Gilarranz,Publicist,publicist,,Spain,Lara,2020-05-29
,1984-05-29,Tim Castille,American football player,American football player,,United States of America,Tim,2020-05-29
,1984-05-29,Togan Gökbakar,Turkish film director,film director screenwriter,,Turkey,,2020-05-29
,1984-05-29,Wang Baoqiang,Chinese actor,comedian television actor actor,,People's Republic of China,,2020-05-29
,1984-05-29,José Luis Quiñónez,Ecuadorian footballer,association football player,,Ecuador,José Luis,2020-05-29
,1984-05-29,Gabriel Enrique Gómez,Panamanian footballer,association football player,,Panama,Gabriel,2020-05-29
,1983-05-29,Ivaylo Radentsov,Bulgarian footballer,association football player,,Bulgaria,Ivaylo,2020-05-29
,1983-05-29,Lau Meng Meng,Footballer,association football player,,People's Republic of China,,2020-05-29
,1983-05-29,Daisuke Yokoyama,Japanese actor,actor singer,,Japan,Daisuke,2020-05-29
,1983-05-29,Anand Tiwari,Indian actor,actor film actor,,India,Anand,2020-05-29
,1983-05-29,Shivaji Dutta,Indian fashion designer,fashion designer,,India,,2020-05-29
,1983-05-29,Patrick Wimberly,American musician,songwriter record producer,,United States of America,Patrick,2020-05-29
,1983-05-29,Christel Bertens,Dutch trackathlete and bobsledder,athletics competitor bobsledder,,Kingdom of the Netherlands,Christel,2020-05-29
,1983-05-29,Diakite Lamine,Ivorian association football player,association football player,,Ivory Coast,,2020-05-29
,1983-05-29,Hasnain Ali Mirza,politician in Pakistan,barrister politician,Member of the Provincial Assembly of Sindh,Pakistan,Hasnain,2020-05-29
,1983-05-29,Jean Makoun,Cameroonian footballer,association football player,,Cameroon,Jean,2020-05-29
,1983-05-29,Sandra Marinello,badminton player,badminton player,,Germany,Sandra,2020-05-29
,1983-05-29,Yevgeniya Polyakova,athletics competitor,sprinter,,Russia,Evgenia,2020-05-29
,1983-05-29,Alysson Paradis,French actress,actor,,France,Alysson,2020-05-29
,1983-05-29,Yavor Vandev,Bulgarian footballer,association football player,,Bulgaria,,2020-05-29
,1983-05-29,Anne-Sophie Calvez,figure skater,figure skater,,France,Anne,2020-05-29
,1983-05-29,Alla Vazhenina,weightlifter,weightlifter,,Kazakhstan,Alla,2020-05-29
,1983-05-29,Andrey Harbunow,Belarusian footballer,association football player,,Belarus,Andrei,2020-05-29
,1983-05-29,Tsuyoshi Nakao,Japanese association football player,association football player,,Japan,,2020-05-29
,1983-05-29,Cristian Bustos,Spanish footballer,association football player,,Spain,Cristian,2020-05-29
,1983-05-29,Nebojša Malešević,Bosnian and herzegovina model,model,,Bosnia and Herzegovina,Nebojša,2020-05-29
,1983-05-29,Daniel Kickert,Australian basketball player,basketball player,,Australia Kingdom of the Netherlands,Daniel,2020-05-29
,1983-05-29,Jack Stewart,American soccer player,association football player,,United States of America,Jack,2020-05-29
,1983-05-29,Igor Kaleshin,Russian footballer (b. 1983),association football player,,Russia,Igor,2020-05-29
,1983-05-29,Georgi Smurov,Russian footballer,association football player,,Russia,Georgiy,2020-05-29
,1983-05-29,Christopher Fogt,American bobsledder,bobsledder,,United States of America,Christopher,2020-05-29
,1983-05-29,Alberto Medina,Mexican association football player,association football player,,Mexico,José Alberto,2020-05-29
,1983-05-29,Ben Mansfield,actor,actor film actor stage actor television actor,,United Kingdom,Ben,2020-05-29
,1983-05-29,A. J. Davis,American football player,American football player,,United States of America,A.,2020-05-29
,1983-05-29,Akifumi Takahashi,Japanese baseball player,baseball player,,Japan,Akifumi,2020-05-29
,1983-05-29 1983-04-29,Alin Bota,Romanian footballer,association football player,,Romania,Alin,2020-05-29
,1983-05-29,Andrei Smyshlyayev,Russian footballer,association football player,,Russia,Andrei,2020-05-29
,1983-05-29,Brad Solomon,American boxer,boxer,,United States of America,Brad,2020-05-29
,1983-05-29,Michael Fly,basketball coach (*1983) ♂,basketball coach,,,Michael,2020-05-29
,1983-05-20 1983-05-29,Eduard Nicola,Romanian footballer,association football player,,Romania,Eduard,2020-05-29
,1983-05-29,Galina Pedan,athletics competitor,athletics competitor,,Kyrgyzstan,Galina,2020-05-29
,1987-11-10 1983-05-29,Hanna Pettersson,Swedish footballer,association football player floorball player,,Sweden,Hanna,2020-05-29
,1983-05-29,Jevon Francis,footballer,association football player,,,,2020-05-29
,1983-05-29,Joanna Higson,"Petite brunette, bubbly, outgoing and very professional.",actor,,United Kingdom,Joanna,2020-05-29
,1983-05-29,Lailatou Amadou Lele,Olympic taekwondo practitioner,taekwondo athlete,,Niger,,2020-05-29
,1983-05-29,Tinatin Bokuchava,Georgian politician,politician,Member of the Parliament of Georgia,,,2020-05-29
,1983-05-29,Mohamed Benaissa,Footballer,association football player,,Algeria,Mohamed,2020-05-29
,1983-05-29,Peter Rapp,German long jumper,athletics competitor,,Germany,Peter,2020-05-29
,1983-05-29,Noritaka Ito,Sledge hockey player (*1983) ♂,sledge hockey player,,,,2020-05-29
,1983-05-29,Zoltán Miski,Hungarian footballer,association football player,,Hungary,Zoltán,2020-05-29
,1983-05-29,Eser Yağmur,Turkish football player,association football player,,Turkey Germany,Eser,2020-05-29
,1983-05-29,Eldar Topić,Bosnian footballer,association football player,,Bosnia and Herzegovina,Eldar,2020-05-29
,1983-05-29,Martin Grubinger,Austrian percussionist,television presenter percussionist,,Austria,Martin,2020-05-29
,1983-05-29,Javier Tetes,Uruguayan footballer,association football player,,Uruguay,Javier,2020-05-29
,1982-05-29,Mfana Futhi Bhembe,Swazi footballer,association football player,,Eswatini,,2020-05-29
,1982-05-29,Kodai Ichihara,golfer (1982-),golfer,,,,2020-05-29
,1982-05-29,Romel Beck,American basketball player,basketball player,,Mexico,Romel,2020-05-29
,1982-05-29,Anastasiya Karlovich,Ukrainian chess player,chess player journalist,,Ukraine,Anastasia,2020-05-29
,1982-05-29,Anita Briem,Icelandic actress,actor film actor,,Iceland,Anita,2020-05-29
,1982-05-29,Isaac Mwaura,Kenyan politician,politician,Member of the National Assembly Member of the Senate of Kenya,Kenya,Isaac,2020-05-29
,1982-05-29,Adam Benzine,British filmmaker and journalist,film director journalist,,United Kingdom,Adam,2020-05-29
,1982-05-29,Shlomi Edri,Footballer,association football player,,Israel,,2020-05-29
,1982-05-29,Ailyn,Spanish singer,singer-songwriter,,Spain,Pilar,2020-05-29
,1982-05-29,Nataliya Dobrynska,Ukrainian heptathlete,athletics competitor,,Ukraine,Natalya Nataliya Natalja Natalia,2020-05-29
,1982-05-29,Ana Beatriz Barros,Brazilian model,model,,Brazil,Ana Beatriz,2020-05-29
,1982-05-29,Ahmed Tangeaoui,Footballer,association football player,,France Morocco,Ahmed,2020-05-29
,1982-05-29,Hisham Mohd Ashour,Egyptian squash player,squash player,,Egypt,Hisham,2020-05-29
,1982-05-29,Bjarte Myrhol,Norwegian handball player,handball player,,Norway,Bjarte Håkon,2020-05-29
,1982-05-29,Geoffroy Messina,French rugby union player,rugby union player,,France,Geoffrey,2020-05-29
,1982-05-29,Yuki Kaneko,Japanese association football player (born 1982),association football player,,Japan,,2020-05-29
,1982-05-29,Sandra-Helena Tavares,Portuguese pole vaulter,athletics competitor,,Portugal,Sandra,2020-05-29
,1982-05-29,William Gradit,French basketball player,basketball player,,France,William,2020-05-29
,1982-05-29,Dennis Masina,Footballer,association football player,,Eswatini,Dennis,2020-05-29
,1982-05-29,Fatima Bhutto,Pakistani writer,journalist writer poet,,Pakistan,Fatima,2020-05-29
,1982-05-29,Seth Mitchell,American boxer,boxer,,United States of America,Seth,2020-05-29
,1982-05-29,Luleseged Wale,Ethiopian athletics competitor,athletics competitor,,Ethiopia,,2020-05-29
,1982-05-29,Karen Foo Kune,Mauritian badminton player,badminton player,,Mauritius,Karen,2020-05-29
,1982-05-29,André Ghem,Brazilian tennis player,tennis player,,Brazil,André,2020-05-29
,1982-05-29,Andy Bellatti,Argentine journalist,journalist writer,,Argentina,Andy,2020-05-29
,1982-05-29,Kim Tae-kyun,South Korean baseball player,baseball player,,South Korea,Tae-gyun,2020-05-29
,1982-05-29,Brent Guerra,Australian rules footballer,Australian rules football player,,,Brent,2020-05-29
,1982-05-29,David França Oliveira e Silva,Brazilian footballer,association football player,,Brazil,David,2020-05-29
,1982-05-29,David Roos,Paralympic athlete of South Africa,athletics competitor,,South Africa,David,2020-05-29
,1982-05-29,"Erin ""Syd"" Sidney",musician,musician record producer,,United States of America,Erin,2020-05-29
,1982-05-29,Everaldo Ferreira,Brazilian footballer and manager,association football player,,Brazil,Everaldo,2020-05-29
,1982-05-29,Ivan Mekikov,Bulgarian footballer,association football player,,Bulgaria,Ivan,2020-05-29
,1982-05-29,Rodrigo Marques de Santana,Brazilian footballer,association football manager association football player,,Brazil,Rodrigo,2020-05-29
,1982-05-29,Kabilan Vairamuthu,Indian writer,author,,India,,2020-05-29
,1982-05-29,Leah Robinson,Association footballer,association football player,,Canada,Leah,2020-05-29
,1982-05-29,Mario René Berríos,Honduran footballer,association football player association football manager,,Honduras,Mario,2020-05-29
,1982-05-29,Mark Hapka,American actor,actor television actor,,United States of America,Mark,2020-05-29
,1982-05-29,Matt Macri,American baseball player,baseball player,,United States of America,Matt,2020-05-29
,1982-05-29,Max Lugavere,American film director,film director,,United States of America,Max,2020-05-29
,1982-05-29,Ricky Lewis,American soccer player,association football player,,United States of America,Ricky,2020-05-29
,1982-05-29,Saleh Al Sheikh,football player,association football player,,Kuwait,Salih,2020-05-29
,1982-05-29,Elyas M'Barek,Austrian Tunisian actor,film actor altar server stage actor voice actor television actor actor,,Germany,Elyas,2020-05-29
,1982-05-29,Piki Hamahona,New Zealand field hockey player,field hockey player,,,,2020-05-29
,1981-05-29,Juanma,"Spanish footballer, born 1981",association football player,,Spain,Juan Manuel,2020-05-29
,1981-05-26 1981-05-29,Isaac Slade,"singer, songwriter, co-founder of The Fray",musician pianist lyricist,,United States of America,Isaac,2020-05-29
,1981-05-29,Dimitris Kottaridis,Greek footballer,association football player,,Greece,Dimitris,2020-05-29
,1981-05-29,Kyle Tress,Olympic skeleton racer,skeleton racer coach,,United States of America,Kyle,2020-05-29
,1981-05-29,Harun Iman,American athletics competitor,athletics competitor,,United States of America,,2020-05-29
,1981-05-29,Justin Chon,American actor,film actor television actor singer YouTuber film director screenwriter,,United States of America,Justin Jitae,2020-05-29
,1981-12-06 1981-05-29,Khaled Lemmouchia,Algerian footballer,association football player,,France Algeria,Khaled,2020-05-29
,1981-05-29,Teodora Kolarova,Bulgarian middle distance runner,athletics competitor,,Bulgaria,Teodora,2020-05-29
,1981-05-29,Annika Hernroth-Rothstein,Swedish journalist and politician (*1981) ♀,journalist politician,,Sweden,Annika,2020-05-29
,1981-05-29,Brendan Cole,Australian hurdler and sprinter,athletics competitor,,Australia,Brendan,2020-05-29
,1981-05-29,Elisa Au,American martial artist,karateka,,United States of America,Elisa,2020-05-29
,1981-05-29,Fernanda Motta,Brazilian model and television host,model,,Brazil,Fernanda,2020-05-29
,1981-05-29,Chris Violette,Canadian actor,actor model Thai boxer film actor television actor,,Canada,Chris,2020-05-29
,1981-05-29,Rochelle Clark,English female rugby union player,rugby union player,,United Kingdom,Rochelle Amy,2020-05-29
,1981-05-29,Horacio Gallardo,Road bicycle racer,sport cyclist,,Bolivia,Horacio,2020-05-29
,1981-05-29,Jimmy Cochran,American alpine skier,alpine skier,,United States of America,Jimmy,2020-05-29
,1981-05-28 1981-05-29,Michele Ferri,Italian footballer,association football player,,Italy,Michele,2020-05-29
,1981-05-29,Michelangelo Minieri,Italian footballer,association football player,,Italy,Michelangelo,2020-05-29
,1981-05-29,Randall Woodfin,American politician,politician,,,Randall,2020-05-29
,1981-05-29,Ajaz Khan,Indian film and television actor,model actor television actor,,India,,2020-05-29
,1981-05-29,Alessandro Evangelisti,Italian footballer,association football player,,Italy,Alessandro,2020-05-29
,1981-05-29,Anders Holm,"American writer, comedian, actor",comedian film producer screenwriter actor film actor television actor voice actor television producer,,United States of America,Anders,2020-05-29
,1981-05-29,Rachel Tucker,Northern Irish actress and singer,actor singer stage actor,,United Kingdom,Rachel,2020-05-29
,1981-05-29,Dias Kamelov,Kazakhstani footballer,association football player,,Kazakhstan,,2020-05-29
,1981-05-29,Funkefeller,American DJ and record producer,disc jockey record producer composer,,United States of America,,2020-05-29
,1981-05-29,Howard Hodges,Player of American and Canadian football,American football player,,United States of America,Howard,2020-05-29
,1981-05-29,Iain Evans,South African field hockey player,field hockey player,,South Africa,Iain,2020-05-29
,1981-05-21 1981-05-29,Erick Scott,Costa Rican footballer,association football player,,Costa Rica,Erick,2020-05-29
,1981-05-29,Mark Convery,British footballer,association football player,,United Kingdom,Mark,2020-05-29
,1981-05-29,Motu Tony,New Zealand rugby league and rugby union footballer,rugby league player rugby union player,,New Zealand,,2020-05-29
,1981-05-29,Sean Locklear,American football offensive lineman,American football player,,United States of America,Sean,2020-05-29
,1981-05-29,Shintaro Kai,professional golfer,golfer,,,,2020-05-29
,1981-05-29,Martin Lattke,German tenor,singer opera singer composer,,Germany,Martin,2020-05-29
,1981-05-29,Wolfgang Auderer,Austrian freestyle skier,athlete,,Austria,Wolfgang,2020-05-29
,1981-05-29,Xinyi Zhang,Chinese actress,actor,,,,2020-05-29
